company_id,type,rule_id,text,confidence_pct
ABB,Con,CON_12,"Revenue CAGR is the weakest among the available core financial metrics, at 9.72%. This deserves monitoring.",65
ABB,Pro,PRO_05,ROCE of 38.4% indicates efficient deployment of operating capital.,98
ABB,Pro,PRO_04,ROE of 32.5% indicates efficient use of shareholder capital.,96
ABB,Pro,PRO_06,ROA of 23.1% indicates productive use of the company's asset base.,95
ABB,Pro,PRO_08,Interest coverage of 141.75x provides a strong buffer for interest payments.,95
ABB,Pro,PRO_07,Low debt-to-equity of 0.02 indicates a relatively conservative capital structure.,94
ABB,Pro,PRO_02,Strong 5-year profit growth of 21.7% shows good earnings expansion.,87
ABB,Pro,PRO_03,"EPS grew at 21.7% over 5 years, supporting improving shareholder earnings.",87
ABB,Pro,PRO_09,"CFO/PAT ratio of 1.01x is classified as High Quality, indicating strong cash backing for earnings.",78
ADANIENSOL,Con,CON_10,CapEx intensity of 29.8% indicates a capital-intensive business model.,95
ADANIENSOL,Con,CON_06,Debt-to-equity of 2.93 indicates higher financial leverage.,90
ADANIENSOL,Con,CON_04,"ROE of 9.5% is relatively low, indicating weaker returns on shareholder capital.",73
ADANIENSOL,Pro,PRO_09,"CFO/PAT ratio of 5.05x is classified as High Quality, indicating strong cash backing for earnings.",98
ADANIENSOL,Pro,PRO_01,Strong 5-year revenue growth of 17.9% indicates healthy business expansion.,83
ADANIENSOL,Pro,PRO_02,Strong 5-year profit growth of 16.4% shows good earnings expansion.,81
ADANIENT,Con,CON_09,"Free cash flow is negative at -8455.00 crore, which can constrain internally generated funding.",86
ADANIENT,Con,CON_10,CapEx intensity of 19.5% indicates a capital-intensive business model.,86
ADANIENT,Con,CON_06,Debt-to-equity of 1.67 indicates higher financial leverage.,83
ADANIENT,Con,CON_04,"ROE of 8.5% is relatively low, indicating weaker returns on shareholder capital.",75
ADANIENT,Pro,PRO_02,Strong 5-year profit growth of 45.8% shows good earnings expansion.,98
ADANIENT,Pro,PRO_09,"CFO/PAT ratio of 3.09x is classified as High Quality, indicating strong cash backing for earnings.",98
ADANIENT,Pro,PRO_03,"EPS grew at 32.0% over 5 years, supporting improving shareholder earnings.",97
ADANIENT,Pro,PRO_01,Strong 5-year revenue growth of 19.0% indicates healthy business expansion.,84
ADANIGREEN,Con,CON_06,Debt-to-equity of 6.60 indicates higher financial leverage.,95
ADANIGREEN,Con,CON_10,CapEx intensity of 228.4% indicates a capital-intensive business model.,95
ADANIGREEN,Con,CON_11,"The company is flagged for high leverage, which increases financial risk.",92
